specimenID,population,stage,sex,morph,morph_sex,tissue,cohort,seeds,food_regime,plate,row,strip,well,rna_conc_ngul,A260_280,core_sample_number,kallisto_name,seq_date,read_filename,degraded,note,girth,wingCS,wingPC1,wingPC2,wingPC3,wingPC4,txCS,txPC1,wingpadCS,wingpadPC1,wingpadPC2,wingpadPC3,wingpadPC4
FC406_n04_ov,PK15,adult,f,SW,SWf,gonad,25,40,high,4,A,10,A10,183.7,2.15,DAJHX10,DAJHX10_UMI_S195,200611,200611/DAJHX10_UMI_S195_L008_R1_001.fastq.gz,FALSE,,4.52642768,8.43979781,0.20528866,-0.0002794,-0.0030802,0.03558138,4.12263878,0.05720735,NA,NA,NA,NA,NA
FC407_n01_dt,KL15,adult,m,SW,SWm,thorax,19,30,high,4,A,11,A11,128.4,2.15,DAJHX11,DAJHX11_UMI_S11,200701,200701/DAJHX11_UMI_S11_L001_R1_001.fastq.gz,FALSE,,3.74716317,8.34719756,0.11251992,-0.0718284,-0.0181431,-0.0550558,3.79558544,0.00268684,NA,NA,NA,NA,NA
FC407_n01_dt,KL15,adult,m,SW,SWm,thorax,19,30,high,4,A,11,A11,128.4,2.15,DAJHX11,DAJHX11_UMI_S196,200611,200611/DAJHX11_UMI_S196_L008_R1_001.fastq.gz,FALSE,,3.74716317,8.34719756,0.11251992,-0.0718284,-0.0181431,-0.0550558,3.79558544,0.00268684,NA,NA,NA,NA,NA
FC407_n01_te,KL15,adult,m,SW,SWm,gonad,19,30,high,4,A,12,A12,118.6,2.14,DAJHX12,DAJHX12_UMI_S12,200701,200701/DAJHX12_UMI_S12_L001_R1_001.fastq.gz,FALSE,,3.74716317,8.34719756,0.11251992,-0.0718284,-0.0181431,-0.0550558,3.79558544,0.00268684,NA,NA,NA,NA,NA
FC407_n01_te,KL15,adult,m,SW,SWm,gonad,19,30,high,4,A,12,A12,118.6,2.14,DAJHX12,DAJHX12_UMI_S197,200611,200611/DAJHX12_UMI_S197_L008_R1_001.fastq.gz,FALSE,,3.74716317,8.34719756,0.11251992,-0.0718284,-0.0181431,-0.0550558,3.79558544,0.00268684,NA,NA,NA,NA,NA
FC410_n02_dt,PK15,adult,f,LW,LWf,thorax,20,10,low,4,B,1,B1,672.2,2.24,DAJHX13,DAJHX13_UMI_S13,200701,200701/DAJHX13_UMI_S13_L001_R1_001.fastq.gz,FALSE,,NA,13.8504775,-0.1335245,0.0061392,-0.0123339,0.01032664,4.8049317,-0.0276072,NA,NA,NA,NA,NA
FC410_n02_dt,PK15,adult,f,LW,LWf,thorax,20,10,low,4,B,1,B1,672.2,2.24,DAJHX13,DAJHX13_UMI_S198,200611,200611/DAJHX13_UMI_S198_L008_R1_001.fastq.gz,FALSE,,NA,13.8504775,-0.1335245,0.0061392,-0.0123339,0.01032664,4.8049317,-0.0276072,NA,NA,NA,NA,NA
FC410_n02_ov,PK15,adult,f,LW,LWf,gonad,20,10,low,4,B,2,B2,49.4,3.97,DAJHX14,DAJHX14_UMI_S14,200701,200701/DAJHX14_UMI_S14_L001_R1_001.fastq.gz,FALSE,,NA,13.8504775,-0.1335245,0.0061392,-0.0123339,0.01032664,4.8049317,-0.0276072,NA,NA,NA,NA,NA
FC410_n02_ov,PK15,adult,f,LW,LWf,gonad,20,10,low,4,B,2,B2,49.4,3.97,DAJHX14,DAJHX14_UMI_S199,200611,200611/DAJHX14_UMI_S199_L008_R1_001.fastq.gz,FALSE,,NA,13.8504775,-0.1335245,0.0061392,-0.0123339,0.01032664,4.8049317,-0.0276072,NA,NA,NA,NA,NA
FC415_n02_dt,KL15,adult,f,SW,SWf,thorax,35,15,low,4,B,3,B3,129.3,2.72,DAJHX15,DAJHX15_UMI_S270,200611,200611/DAJHX15_UMI_S270_L008_R1_001.fastq.gz,FALSE,,4.11163013,8.21150786,0.22769795,0.07412293,0.0048012,-0.0027156,4.06004566,0.06497979,NA,NA,NA,NA,NA
